,Year,Organization,Type,Standing,Allocation
0,2012,{m}aganda magazine,PUB,23.0,"$1,592.02"
1,2012,Al-Bayan,PUB,12.0,"$1,300.00"
2,2012,Alternative Breaks Publication Group,PUB,10.0,$891.07
3,2012,BARE Magazine,PUB,6.0,"$1,250.00"
4,2012,Berkeley Fiction Review,PUB,29.0,"$1,036.99"
5,2012,Berkeley Poetry Review,PUB,18.0,"$1,500.00"
6,2012,Berkeley Review of Education,PUB,1.0,$500.00
7,2012,Berkeley Science Review,PUB,13.0,"$2,139.47"
8,2012,Caliber Magazine,PUB,3.0,"$1,700.00"
9,2012,CalTV,PUB,8.0,"$5,000.00"
10,2012,CLAM (Cal Literature and Arts Magazine),PUB,15.0,"$1,495.00"
11,2012,Clio's Scroll,PUB,13.0,"$1,100.00"
12,2012,Cultural Analysis,PUB,3.0,$620.90
13,2012,Ensorcelled/Imaginarium,PUB,1.0,$500.00
14,2012,Fabric,PUB,1.0,$400.00
15,2012,hardboiled,PUB,16.0,"$4,645.11"
16,2012,The Heuristic Squelch,PUB,16.0,"$2,400.00"
17,2012,Human Journal at Berkeley,PUB,2.0,$595.00
18,2012,MISTER Magazine,PUB,1.0,$488.00
19,2012,Onyx Express,PUB,17.0,"$4,345.64"
20,2012,Perspective Magazine,PUB,8.0,"$1,200.00"
21,2012,Premed Perspective,PUB,8.0,"$1,200.00"
22,2012,Sather Health,PUB,2.0,$377.40
23,2012,"Smart Ass, The",PUB,13.0,"$3,384.00"
24,2012,The Berkeley Political Review,PUB,12.0,"$4,293.00"
25,2012,The Black Album,PUB,2.0,$245.00
26,2012,The Public Health Advocate,PUB,8.0,$390.93
27,2012,The Science of Wellness Magazine,PUB,1.0,$500.00
28,2012,The Triple Helix,PUB,2.0,$595.00
29,2012,The Undergraduate Journal of Psychology at Berkeley,PUB,2.0,$548.00
30,2012,To An Unknown God (TAUG),PUB,4.0,"$1,870.00"
31,2012,UC Berkeley Comparative Literature Undergraduate Journal,PUB,1.0,$420.00
32,2012,Abba Modern,SAG,1.0,$50.00
33,2012,acts2fellowship (A2F),SAG,11.0,"$2,807.80"
34,2012,Afghan Student Association,SAG,5.0,$373.90
35,2012,Alpha Epsilon Zeta,SAG,8.0,$802.60
36,2012,Alpha Kappa Psi (AKPsi),SAG,2.0,$52.50
37,2012,Alpha Phi Omega,SAG,27.0,"$1,310.95"
38,2012,Ambience,SAG,1.0,$150.00
39,2012,American Institute of Architecture Students,SAG,4.0,$420.00
40,2012,American Medical Student Association,SAG,14.0,$630.00
41,2012,American Nuclear Society,SAG,5.0,Sponsorship Only
42,2012,American Society of Civil Engineers (ASCE),SAG,8.0,$100.00
43,2012,Anthropology Undergraduate Association,SAG,2.0,$200.00
44,2012,Armenian Students' Association,SAG,35.0,"$2,092.27"
45,2012,ASCEND,SAG,4.0,$168.00
46,2012,Asha For Education,SAG,8.0,$744.94
47,2012,Asian American Association,SAG,15.0,"$7,740.60"
48,2012,Asian Pacific American Coalition,SAG,13.0,"$1,678.40"
49,2012,Asociaci??n de Chilenos en Berkeley,SAG,1.0,$50.00
50,2012,Association for Muslim Professional Development,SAG,6.0,$37.50
51,2012,Association of Psychology Undergraduates,SAG,13.0,$30.00
52,2012,Autism Speaks U at Berkeley,SAG,2.0,$200.00
53,2012,"BAMN - Coalition to Defend Affirmative Action, Integration, and Immigrant Rights and Fight for Equality By Any Means Necessary",SAG,14.0,"$2,856.00"
54,2012,BCSSA,SAG,9.0,$339.87
55,2012,Berkeley ACLU,SAG,12.0,$147.00
56,2012,Berkeley Baha'i Club,SAG,15.0,$300.00
57,2012,Berkeley Ballroom,SAG,9.0,$892.50
58,2012,Berkeley Bhangra Club,SAG,5.0,$210.00
59,2012,Berkeley College Republicans,SAG,17.0,"$3,000.00"
60,2012,Berkeley Consulting,SAG,13.0,Sponsorship Only
61,2012,Berkeley Dil Se,SAG,4.0,$617.40
62,2012,Berkeley Investment Group,SAG,1.0,$50.00
63,2012,Berkeley Legal Studies Association,SAG,13.0,$25.43
64,2012,Berkeley National Organization of Women,SAG,11.0,"$1,176.00"
65,2012,Berkeley Organization for Animal Advocacy,SAG,14.0,$900.00
66,2012,Berkeley Students for Life,SAG,15.0,$487.20
67,2012,Berkeley Undergraduate Sociology Association (BUSA),SAG,5.0,$105.00
68,2012,Berkeley Urban Studies Student Association,SAG,1.0,$50.00
69,2012,Berkeley Women In Business,SAG,10.0,$39.00
70,2012,Bezerkeley,SAG,3.0,$262.50
71,2012,Black Student Union,SAG,3.0,$208.00
72,2012,Cal Actuarial League,SAG,8.0,$403.83
73,2012,Cal Animage Alpha,SAG,2.0,$200.00
74,2012,Cal Berkeley Democrats (CBD),SAG,15.0,"$4,020.47"
75,2012,Cal Dragon Boat,SAG,8.0,$261.30
76,2012,Cal Hawaii Club,SAG,26.0,"$1,801.80"
77,2012,Cal Hiking and Outdoor Society,SAG,64.0,$547.97
78,2012,Cal Ice Hockey Team,SAG,1.0,$50.00
79,2012,Cal in the Capital,SAG,35.0,"$1,992.70"
80,2012,Cal Japan Club,SAG,5.0,$369.00
81,2012,Cal Pre-Vet Club,SAG,3.0,$52.50
82,2012,Cal Raijin Taiko,SAG,8.0,$754.30
83,2012,Cal Slam,SAG,9.0,$262.50
84,2012,Cal Undergraduate Public Health Coalition (UPHC),SAG,9.0,"$1,419.60"
85,2012,California Mock Trial,SAG,13.0,"$3,603.60"
86,2012,CalSol - UC Berkeley Solar Vehicle Team,SAG,15.0,$950.00
87,2012,CEE JFC,SAG,5.0,Sponsorship Only
88,2012,Chabad Jewish Student Group at Berkeley,SAG,4.0,$157.50
89,2012,Chi Epsilon,SAG,13.0,$0.00
90,2012,Chinese People Union,SAG,9.0,$975.81
91,2012,Chinese Student Association,SAG,23.0,"$2,000.00"
92,2012,Circle K International,SAG,18.0,"$2,887.60"
93,2012,Cognitive Science Student Association,SAG,14.0,$104.00
94,2012,College Ski and Snowboard Club (CSSC),SAG,14.0,$210.00
95,2012,Collegiate Star League at Berkeley,SAG,1.0,$20.00
96,2012,Committee for Korea Studies,SAG,8.0,$50.00
97,2012,Computer Science Undergraduate Association,SAG,38.0,"$1,575.00"
98,2012,Creative Applications to Life in Origami,SAG,3.0,$105.00
99,2012,Crossroads Christian Fellowship,SAG,4.0,$163.80
100,2012,Danceworx,SAG,16.0,"$1,520.69"
101,2012,DeCadence,SAG,13.0,$655.20
102,2012,Delta Phi Epsilon,SAG,10.0,$392.51
103,2012,Delta Sigma Pi,SAG,7.0,"$1,037.40"
104,2012,Department of Integrative Biology Students,SAG,1.0,$50.00
105,2012,Design for America,SAG,1.0,$50.00
106,2012,East Asian Languages and Cultures Undergraduate Student Association,SAG,3.0,$150.00
107,2012,East Asian Union,SAG,3.0,$0.00
108,2012,Education Undergraduates,SAG,5.0,$288.75
109,2012,Eggster Organization (Eggster??s Committee),SAG,12.0,"$1,730.45"
110,2012,EGO,SAG,2.0,$210.00
111,2012,elecTonic,SAG,5.0,$436.80
112,2012,Electrochemical Society - Student Chapter at Berkeley,SAG,5.0,$0.00
113,2012,Engineering Student Council (formerly Engineer's Joint Council),SAG,20.0,"$26,565.00"
114,2012,English Undergraduate Association,SAG,8.0,$299.57
115,2012,EthiopianStudentUnion,SAG,17.0,"$1,680.00"
116,2012,Fashion and Student Trends,SAG,1.0,$50.00
117,2012,Fei Tian Dancers,SAG,9.0,$327.60
118,2012,"Fellowship in Christ, Berkeley",SAG,7.0,$262.50
119,2012,Foresight Pre-Optometry Club,SAG,21.0,$840.00
120,2012,Freshman and Sophomore Business Club,SAG,11.0,$193.09
121,2012,Friends of the Co-ops,SAG,1.0,$50.00
122,2012,FSES,SAG,2.0,Sponsorship Only
123,2012,Future Business Business Leaders Of America- Phi Beta Lambda,SAG,8.0,$889.93
124,2012,Golden Bears Aikido Club,SAG,3.0,$0.00
125,2012,Graduate Flight Club,SAG,1.0,$50.00
126,2012,Greening the Greeks,SAG,3.0,$105.00
127,2012,Haas Undergraduate Black Business Association,SAG,7.0,Sponsorship Only
128,2012,Hackers at Berkeley,SAG,1.0,Sponsorship Only
129,2012,Hindu Students Council,SAG,5.0,$218.40
130,2012,Hong Kong Student Association,SAG,16.0,"$1,310.95"
131,2012,Human Powered Vehicle,SAG,1.0,$50.00
132,2012,IAS Student Representative Council,SAG,3.0,$150.00
133,2012,IISA,SAG,12.0,"$1,102.28"
134,2012,Indian Students Association,SAG,9.0,"$1,037.40"
135,2012,Indus,SAG,24.0,"$3,850.00"
136,2012,International Association of Business Communicators (IABC),SAG,7.0,$273.00
137,2012,International Justice Mission,SAG,2.0,$200.00
138,2012,International Student Association at Berkeley (ISAB),SAG,12.0,$367.50
139,2012,InterVarsity Christian Fellowship,SAG,14.0,"$3,835.83"
140,2012,Iranian Students' Cultural Organization,SAG,16.0,$689.64
141,2012,ITE (Institute of Transportation Engineers),SAG,6.0,Sponsorship Only
142,2012,J Street U at Berkeley,SAG,1.0,Sponsorship Only
143,2012,Jericho!,SAG,8.0,$625.00
144,2012,Jewish Business Association,SAG,6.0,$250.00
145,2012,Jewish Student Union,SAG,34.0,"$13,008.91"
146,2012,Kairos Christian Fellowship,SAG,7.0,$327.60
147,2012,Kappa Gamma Delta,SAG,10.0,"$1,100.00"
148,2012,Klesis,SAG,1.0,$50.00
149,2012,Koinonia Campus Fellowship (Koinonia),SAG,8.0,$682.50
150,2012,Korea Campus Crusade for Christ,SAG,2.0,$200.00
151,2012,Korean American Student Association,SAG,31.0,"$4,551.44"
152,2012,Korean Networking Association of Berkeley (KUNA),SAG,5.0,$163.80
153,2012,Korean-American Scientists and Engineers Association at Berkeley (KSEA),SAG,1.0,$50.00
154,2012,K-popular at Berkeley,SAG,2.0,$200.00
155,2012,Labor Justice Project at Cal,SAG,1.0,$50.00
156,2012,Lambda Upsilon Lambda,SAG,1.0,$50.00
157,2012,Latin American Studies Student Organization,SAG,1.0,$50.00
158,2012,Latino Pre-Law Society,SAG,10.0,"$1,200.00"
159,2012,Law In Practice,SAG,1.0,$250.00
160,2012,Lindy on Sproul,SAG,2.0,$200.00
161,2012,LiNK @ Cal,SAG,8.0,$682.50
162,2012,Longboard Connection at Berkeley,SAG,2.0,$200.00
163,2012,M.T.O. Sufi Association,SAG,3.0,$210.00
164,2012,Main Stacks Dance Team,SAG,5.0,$600.60
165,2012,Mexicanos En contra el Narcotrafico de Drogas,SAG,1.0,$50.00
166,2012,Mixed Student Union,SAG,16.0,$877.49
167,2012,Monopoly Deal Club,SAG,1.0,$50.00
168,2012,Muslim Student Association,SAG,26.0,"$8,708.70"
169,2012,Nikkei Student Union,SAG,11.0,"$1,604.60"
170,2012,Olive Tree Initiative,SAG,1.0,$50.00
171,2012,Omicron Delta Epsilon,SAG,6.0,$160.00
172,2012,Pakistani Students Association,SAG,9.0,$645.12
173,2012,Partnership for Pre-professional Pilipinos,SAG,12.0,$871.27
174,2012,Phi Alpha Delta,SAG,5.0,$300.00
