,Organization,Designation
0,#Downcrew,Performing Arts RSO 
1,*African American Student Development*,Campus Department
2,*Asian Pacific American Student Development*,Campus Department
3,"*
*ASUC Student Union Event Services*",Campus Department
4,*Berkeley Art Studio*,Campus Department
5,*Chicanx Latinx Student Development*,Campus Department
6,*LEAD Center*,Campus Department
7,*Multicultural Community Center*,Campus Department
8,*Native American Student Development*,Campus Department
9,*Student Environmental Resource Center*,Campus Department
10,*The Green Initiative Fund*,Campus Department
11,*UC Berkeley Campus Libraries*,Campus Department
12,*UC Berkeley Career Center*,Campus Department
13,*UC Berkeley Gender Equity Resource Center*,Campus Department
14,*UC Berkeley Public Service Center*,Campus Department
15,180 Degrees Consulting at Berkeley,Service RSO 
16,3D Modeling and Animation at Berkeley,Technology RSO 
17,3DMC,Media & Film RSO 
18,7 Cups at Berkeley,Health & Wellness RSO 
19,A Better Way at Berkeley,Service RSO 
20,AAVP Grants,ASUC Government Program 
21,ABA,Professional RSO 
22,Abba Modern,Performing Arts RSO 
23,"A
ABC Sketches",Media & Film RSO 
24,Academic Cultural Enrichment Coaches,Service RSO 
25,AccelerateHer@Berkeley,Professional RSO 
26,Active for Alzheimer's at Berkeley,Service RSO 
27,acts2fellowship,Spiritual RSO 
28,Adventist Christian Fellowship,Spiritual RSO 
29,"A
Advocacy Agenda",ASUC Government Program 
30,Aerospace SAE,Technology RSO 
31,Afghan Student Association,Cultural & Identity/International RSO 
32,African American Student Leadership Team,Cultural & Identity/Cultural & Ethnic RSO 
33,"A
African American Studies",Campus Department
34,AFX Dance,Performing Arts RSO 
35,"A
Alianza Latinx for Public Health Action",Professional RSO 
36,Alliance for Diversity in Science and Engineering Chapter at Berkeley,Academic RSO 
37,Alpha Chi Omega,CalGreeks Panhellenic Council (PHC) Sororities 
38,Alpha Chi Sigma Professional Chemistry Fraternity,Academic RSO 
39,Alpha Delta Phi,CalGreeks Interfraternity Council (IFC) Fraternities 
40,Alpha Delta Pi,CalGreeks Panhellenic Council (PHC) Sororities 
41,Alpha Epsilon Pi,CalGreeks Interfraternity Council (IFC) Fraternities 
42,"Alpha Epsilon Zeta Fraternity, Inc.",Professional RSO 
43,Alpha Gamma Omega,CalGreeks Interfraternity Council (IFC) Fraternities 
44,"Alpha Kappa Alpha Sorority, Inc.",CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities 
45,Alpha Kappa Psi,Academic RSO 
46,Alpha Phi,CalGreeks Panhellenic Council (PHC) Sororities 
47,"Alpha Phi Alpha Fraternity, Inc.",CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities 
48,Alpha Phi Omega,Service RSO 
49,Alpha Rho Chi,Academic RSO 
50,Alpha Sigma Phi,CalGreeks Interfraternity Council (IFC) Fraternities 
51,Alpha Tau Omega,CalGreeks Interfraternity Council (IFC) Fraternities 
52,"Alt. Protein Project of Berkeley, The",Academic RSO 
53,Alternative Breaks,Service RSO 
54,Alzheimer's Association at Berkeley,Health & Wellness RSO 
55,American Advertising Federation,Professional RSO 
56,American Chemical Society at Berkeley Student Chapter,Professional RSO 
57,American Constitution Society at Berkeley,Academic RSO 
58,American Enterprise Institute - Executive Council at Berkeley,Political & Advocacy 
59,American Indian Graduate Student Association,Cultural & Identity/Cultural & Ethnic RSO 
60,American Institute of Aeronautics and Astronautics,Departmental RSO 
61,American Institute of Architecture Students,Professional RSO 
62,American Institute of Chemical Engineers,Departmental RSO 
63,American Medical Student Association--Berkeley Premedical Chapter,Professional RSO 
64,American Medical Women's Association at Berkeley,Cultural & Identity/Women Interest RSO 
65,American Nuclear Society,Academic RSO 
66,American Optometric Student Association,Professional RSO 
67,American Physician Scientist Association at Berkeley,Professional RSO 
68,American Red Cross at Cal,Service RSO 
69,American Society for Biochemistry and Molecular Biology,Professional RSO 
70,American Society of Civil Engineers,Academic RSO 
71,American Society of Landscape Architects,Professional RSO 
72,American Society of Mechanical Engineers,Professional RSO 
73,Amigos,Recreational RSO 
74,Amnesty International,Service RSO 
75,Animal Law Society at Berkeley Law [Formerly Boalt Hall Animal Law Society],Professional RSO 
76,Animal Spirits Writing Group,Academic RSO 
77,ANova,Service RSO 
78,"A
Anthropology Students Organized for Research and Action",Departmental RSO 
79,"A
Anthropology Undergraduate Association",Departmental RSO 
80,Anti-Trafficking Coalition at Berkeley,Service RSO 
81,Arab Student Union,Cultural & Identity/International RSO 
82,ARC Repertory Theatre (ARC Rep),Performing Arts RSO 
83,Argentine Tango Club of Berkeley,Performing Arts RSO 
84,Ark College Group,Spiritual RSO 
85,Armenian Student Association,Cultural & Identity/International RSO 
86,Army Color Guard,Departmental RSO 
87,Army ROTC Cadet Club,Departmental RSO 
88,Arnold Air Society,Professional RSO 
89,Art and Mind,Arts RSO 
90,"A
Art Practice at Berkeley",Arts RSO 
91,Artists in Resonance,Performing Arts RSO 
92,"A
Arts and Innovation Advocates",Arts RSO 
93,ASCEND,Professional RSO 
94,"Asha for Education, Berkeley",Service RSO 
95,Asian & Pacific Islander Women’s Circle,Cultural & Identity/Women Interest RSO 
96,Asian American and Pacific Islander Health Research Group,Health & Wellness RSO 
97,Asian American Association,Cultural & Identity/Cultural & Ethnic RSO 
98,Asian American Christian Fellowship,Spiritual RSO 
99,Asian American Law Journal,Publications RSO 
100,Asian American Studies,No Response
101,Asian Pacific American Law Students Association,Professional RSO 
102,Asian Pacific American Pre-Law Association,Cultural & Identity/Cultural & Ethnic RSO 
103,Asian Pacific Islander Social Worker Caucus,Cultural & Identity/Cultural & Ethnic RSO 
