,Organization,Type,Designation,Standing,Allocation
0,The B-Side,PUB,Publications RSO,7,350.0
1,BARE Magazine,PUB,Publications RSO,12,4077.0
2,Berkeley Economic Review,PUB,Academic RSO,2,700.0
3,Berkeley Fiction Review,PUB,Publications RSO,36,2000.0
4,Berkeley Poetry Review,PUB,Publications RSO,25,1520.0
5,The Berkeley Political Review,PUB,Publications RSO,18,8028.0
6,Berkeley Science Review,PUB,Publications RSO,19,1200.0
7,Berkeley Scientific Journal,PUB,Publications RSO,3,900.0
8,BerkTown Buzz,PUB,Publications RSO,1,700.0
9,Blue and Gold Yearbook,PUB,Publications RSO,5,700.0
10,Cal Literature & Arts Magazine,PUB,Publications RSO,28,2800.0
11,Caliber Magazine,PUB,Publications RSO,10,9250.0
12,Clio's Scroll,PUB,Publications RSO,20,1500.0
13,Garb,PUB,Publications RSO,3,900.0
14,In Color Film and Visual Arts Collective,PUB,Publications RSO,1,400.0
15,Intercollegiate Finance Journal at Berkeley,PUB,Publications RSO,1,700.0
16,LatinUS,PUB,Publications RSO,1,500.0
17,maganda magazine,PUB,Publications RSO,30,610.0
18,Morning Sign Out,PUB,Publications RSO,1,260.0
19,Policy Review at Berkeley,PUB,Political & Advocacy RSO,1,700.0
20,Public Health Advocate,PUB,Publications RSO,15,1900.0
21,Review of International Conflict and Security,PUB,Publications RSO,1,700.0
22,The Smart Ass,PUB,Publications RSO,18,3000.0
23,Spoon University at Berkeley,PUB,Publications RSO,6,1250.0
24,Synapse,PUB,Publications RSO,3,840.0
25,The Heuristic Squelch,PUB,Publications RSO,23,7999.0
26,Threads,PUB,Publications RSO,20,11000.0
27,To An Unknown God,PUB,Publications RSO,11,2900.0
28,[make]new christian fellowship,SAG,Spiritual RSO,3,500.0
29,180 Degrees Consulting at Berkeley,SAG,Service RSO,4,500.0
30,ABA,SAG,Professional RSO,3,0.0
31,Abba Modern,SAG,Performing Arts RSO,3,500.0
32,acts2fellowship,SAG,Spiritual RSO,18,4300.0
33,Afghan Student Association,SAG,Cultural & Identity/International RSO,12,3000.0
34,AFX Dance,SAG,Performing Arts RSO,7,0.0
35,"Alpha Epsilon Zeta Fraternity, Inc.",SAG,Professional RSO,14,2800.0
36,Alpha Kappa Psi,SAG,Academic RSO,9,1000.0
37,Alpha Phi Omega,SAG,Service RSO,34,2500.0
38,Alpha Rho Chi,SAG,Academic RSO,1,400.0
39,American Advertising Federation,SAG,Professional RSO,4,500.0
40,American Chemical Society at Berkeley Student Chapter,SAG,Professional RSO,4,500.0
41,American Institute of Architecture Students,SAG,Professional RSO,9,200.0
42,American Medical Student Association--Berkeley Premedical Chapter,SAG,Professional RSO,21,1000.0
43,American Medical Women's Association at Berkeley,SAG,Cultural & Identity/Women Interest RSO,4,500.0
44,Arab Student Union,SAG,Cultural & Identity/International RSO,8,568.0
45,ARC Repertory Theatre (ARC Rep),SAG,Performing Arts RSO,1,375.0
46,Armenian Student Association,SAG,Cultural & Identity/International RSO,37,2400.0
47,Army ROTC Cadet Club,SAG,Departmental RSO,1,400.0
48,Arnold Air Society,SAG,Professional RSO,2,400.0
49,Art and Mind,SAG,Arts RSO,2,400.0
50,Artists in Resonance,SAG,Performing Arts RSO,5,700.0
51,ASCEND,SAG,Professional RSO,11,800.0
52,"Asha for Education, Berkeley",SAG,Service RSO,15,195.0
53,Asian American Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,22,4492.0
54,Asian American Law Journal,SAG,Publications RSO,1,400.0
55,Association for Muslim Professional Development,SAG,Professional RSO,13,1672.0
56,Association for Socially Responsible Business,SAG,Professional RSO,2,128.0
57,Association of Chinese Entrepreneurs at Berkeley,SAG,Professional RSO,1,400.0
58,Association of Korean Artists,SAG,Performing Arts RSO,1,400.0
59,Aurum Cosmetics,SAG,Technology RSO,1,275.0
60,Underwater Robotics at Berkeley,SAG,Professional RSO,3,0.0
61,Ballet Company at Berkeley,SAG,Performing Arts RSO,8,700.0
62,Ballet Folklorico Reflejos De Mexico,SAG,Performing Arts RSO,7,800.0
63,Bangali Student Association at Berkeley,SAG,Cultural & Identity/International RSO,3,500.0
64,BerKast,SAG,Media & Film RSO,4,500.0
65,Berkeley Bahai Club,SAG,Spiritual RSO,24,700.0
66,Berkeley Ballroom Dancers,SAG,Performing Arts RSO,5,500.0
67,Berkeley Business Society,SAG,Professional RSO,3,500.0
68,Berkeley Carillon Guild,SAG,Performing Arts RSO,16,800.0
69,Berkeley Chinese Students and Scholars Association,SAG,Cultural & Identity/International RSO,13,2500.0
70,Berkeley Consulting,SAG,Professional RSO,2,0.0
