Publications	Type	Standing	Request	Proposal	Proposal	Proposal	Allocation
{m}aganda magazine	PUB	23	"$3,086.53"	"$1,592.02"	"$1,592.02"	"$1,592.02"	"$1,592.02"
Al-Bayan	PUB	12	"$6,500.00"	$306.76	"$1,300.00"	"$1,300.00"	"$1,300.00"
Alternative Breaks Publication Group	PUB	10	"$2,618.50"	$891.07	$891.07	$891.07	$891.07
BARE Magazine	PUB	6	"$4,689.12"	$960.02	"$1,250.00"	"$1,250.00"	"$1,250.00"
Berkeley Fiction Review	PUB	29	"$1,036.99"	"$1,036.99"	"$1,036.99"	"$1,036.99"	"$1,036.99"
Berkeley Poetry Review	PUB	18	"$4,000.00"	$0.00	"$1,500.00"	"$1,500.00"	"$1,500.00"
Berkeley Review of Education	PUB	1	"$3,091.00"	$500.00	$500.00	$500.00	$500.00
Berkeley Science Review	PUB	13	"$3,150.00"	"$2,139.47"	"$2,139.47"	"$2,139.47"	"$2,139.47"
Caliber Magazine	PUB	3	"$5,300.00"	"$1,700.00"	"$1,700.00"	"$1,700.00"	"$1,700.00"
CalTV	PUB	8	"$5,500.00"	$0.00	"$5,000.00"	"$5,000.00"	"$5,000.00"
CLAM (Cal Literature and Arts Magazine)	PUB	15	"$1,495.00"	"$1,495.00"	"$1,495.00"	"$1,495.00"	"$1,495.00"
Clio's Scroll	PUB	13	"$1,100.00"	"$1,100.00"	"$1,100.00"	"$1,100.00"	"$1,100.00"
Cultural Analysis	PUB	3	$620.90	$620.90	$620.90	$620.90	$620.90
Ensorcelled/Imaginarium	PUB	1	$700.00	$500.00	$500.00	$500.00	$500.00
Fabric	PUB	1	$400.00	$400.00	$400.00	$400.00	$400.00
hardboiled	PUB	16	"$4,645.11"	"$4,645.11"	"$4,645.11"	"$4,645.11"	"$4,645.11"
The Heuristic Squelch	PUB	16	"$9,600.00"	$0.00	"$2,400.00"	"$2,400.00"	"$2,400.00"
Human Journal at Berkeley	PUB	2	"$1,953.40"	$595.00	$595.00	$595.00	$595.00
MISTER Magazine	PUB	1	$488.00	$488.00	$488.00	$488.00	$488.00
Onyx Express	PUB	17	"$4,350.78"	"$4,345.64"	"$4,345.64"	"$4,345.64"	"$4,345.64"
Perspective Magazine	PUB	8	"$4,436.00"	$733.99	"$1,200.00"	"$1,200.00"	"$1,200.00"
Premed Perspective	PUB	8	"$1,200.00"	"$1,200.00"	"$1,200.00"	"$1,200.00"	"$1,200.00"
Sather Health	PUB	2	$757.65	$377.40	$377.40	$377.40	$377.40
