Publications	Type	Standing	Request	Proposal	Proposal	Allocation
Al-Bayan	PUB	13	"$1,300"	"$1,300"	"$1,300"	"$1,784"
Alternative Breaks Publishing Group	PUB	11	"$2,619"	$909	$909	$909
BARE Magazine	PUB	7	"$2,500"	"$1,275"	"$1,275"	"$1,275"
Berkeley Fiction Review	PUB	30	$960	$960	$960	$960
Berkeley Poetry Review	PUB	19	"$3,000"	"$1,530"	"$1,530"	"$1,530"
Berkeley Political Review	PUB	12	"$5,000"	"$4,379"	"$4,379"	"$5,035"
Berkeley Science Review	PUB	13	$0	$0	$0	$0
byte of Berkeley	PUB	1	$700	$400	$400	$400
Cal Literature & Arts Magazine	PUB	16	"$1,464"	"$1,464"	"$1,464"	"$1,464"
Caliber Magazine	PUB	4	"$2,500"	"$1,734"	"$1,734"	"$1,734"
California Patriot	PUB	2	"$8,000"	$800	$800	$800
CalTV	PUB	9	"$6,500"	"$5,100"	"$6,500"	"$6,500"
Clio's Scroll	PUB	14	"$2,020"	"$1,122"	"$1,122"	"$1,122"
Folio	PUB	2	"$2,462"	$800	$800	$800
hardboiled newsmagazine	PUB	17	"$4,766"	"$4,738"	"$4,738"	"$4,738"
Heuristic Squelch	PUB	17	"$11,000"	"$2,448"	"$8,000"	"$8,000"
Maganda Magazine	PUB	24	"$2,105"	"$1,624"	"$1,624"	"$1,624"
Onyx Express Publications	PUB	18	"$3,910"	"$3,910"	"$3,910"	"$3,910"
Perspective Magazine	PUB	17	"$2,400"	"$2,244"	"$2,244"	"$2,244"
Premed Perspective	PUB	9	"$1,000"	"$1,000"	"$1,000"	"$1,000"
Public Health Advocate	PUB	9	$320	$320	$320	$320
Sather Health	PUB	3	$723	$723	$723	$723
Science of Wellness	PUB	2	"$2,000"	$800	$800	$800
SeaChange Magazine	PUB	1	"$2,000"	$400	$400	$400
Smart Ass	PUB	15	"$3,900"	"$3,452"	"$3,452"	"$3,452"
To An Unknown God: A Journal of Christian Thought at Berkeley	PUB	5	"$3,000"	"$1,907"	"$1,907"	"$2,857"
"Troika: An Undergraduate Journal in Slavic, East European, and Eurasian"	PUB	2	"$2,000"	$800	$800	$800
Univeristy of California Compartive Literature Undergraduate Journal	PUB	2	$420	$374	$374	$374
Vagabond Multilingual Journal	PUB	1	"$1,500"	$0	$0	$0
3D Modeling Club	SAG	1	$250	$0	$150	$150
Abba Modern	SAG	2	"$1,000"	$300	$300	$300
Acts2Fellowship	SAG	12	"$3,500"	"$2,864"	"$2,864"	"$2,864"
Adoptee University	SAG	2	$750	$300	$300	$300
AFX Dance	SAG	1	"$1,500"	$150	$150	$150
Alpha Beta Consulting	SAG	1	$600	$150	$150	$150
Alpha Epsilon Zeta	SAG	9	"$1,242"	$819	$819	$819
Alpha Kappa Psi	SAG	3	"$1,500"	$450	$450	$450
Alpha Phi Omega	SAG	28	"$12,757"	"$1,337"	"$1,337"	"$1,337"
Alpha Sigma Nu	SAG	1	$0	$0	$0	$0
Ambience	SAG	2	$300	$0	$0	$0
American Institute for Architecture Students	SAG	5	$840	$428	$428	$428
American Marketing Association	SAG	1	"$1,000"	$150	$150	$150
American Medical Student Association	SAG	15	"$1,452"	$643	$643	$643
American Nuclear Society	SAG	6	$500	$0	$0	$0
American Parliamentary Debate Association Society	SAG	2	$400	$300	$300	$300
Anthropology Undergraduate Association	SAG	3	$250	$90	$90	$90
Arab Student Union	SAG	3	"$1,000"	$450	$450	$450
Argentine Tango Club of Berkeley	SAG	3	"$1,500"	$310	$310	$310
