GROUP	TYPE (YEAR)	FUNDING REQUEST	CFO	FINANCE COMMITTEE	FINAL ALLOCATION
Al-Bayan	PUB (15)	"$1,200.00"	"$1,200.00"	"$1,200.00"	"$1,200.00"
BARE Magazine	PUB (9)	"$4,600.00"	"$1,300.00"	"$3,940.00"	"$3,940.00"
Bears Beyond Bars	PUB (1)	$100.00	$100.00	$100.00	$100.00
Berkeley Fiction Review	PUB (32)	"$3,000.00"	$800.00	"$1,300.00"	"$1,300.00"
Berkeley Poetry Review	PUB (21)	"$2,500.00"	"$1,500.00"	"$2,500.00"	"$2,500.00"
Berkeley Political Review	PUB (14)	"$6,000.00"	"$5,000.00"	"$5,000.00"	"$5,000.00"
Berkeley Science Review	PUB (15)	"$2,500.00"	"$2,100.00"	"$2,100.00"	"$2,100.00"
Blue and Gold Yearbook	PUB (2)	"$1,500.00"	$900.00	$900.00	$900.00
Cal Literature and Arts Magazine	PUB (18)	"$1,500.00"	"$1,400.00"	"$1,400.00"	"$1,400.00"
Caliber Magazine	PUB (6)	"$8,180.00"	"$1,700.00"	"$7,000.00"	"$7,000.00"
CalTV	PUB (11)	"$4,000.00"	"$3,000.00"	"$3,000.00"	"$3,000.00"
Chévere	PUB (1)	$700.00	$700.00	$700.00	$700.00
Clio's Scroll	PUB (16)	"$1,100.00"	"$1,100.00"	"$1,100.00"	"$1,100.00"
Han Sori at Berkeley	PUB (2)	"$1,250.00"	$900.00	$900.00	$900.00
hardboiled newsmagazine	PUB (19)	"$4,200.00"	"$4,200.00"	"$4,200.00"	"$4,200.00"
Insight at Berkeley	PUB (1)	$650.00	$650.00	$650.00	$650.00
Intercollegiate Finance Journal at Berkeley	PUB (1)	$300.00	$300.00	$300.00	$300.00
International Youth and Students for Social Equality Publications Group	PUB (3)	$800.00	$800.00	$800.00	$800.00
Maganda Magazine	PUB (26)	"$2,300.00"	"$1,800.00"	"$1,800.00"	"$1,800.00"
Morning Sign Out	PUB (1)	$700.00	$700.00	$700.00	$700.00
Perspective Magazine	PUB (19)	"$5,000.00"	"$2,200.00"	"$2,500.00"	"$2,500.00"
Spoon University at Berkeley	PUB (2)	$900.00	$900.00	$900.00	$900.00
Technology Review at Berkeley	PUB (2)	$400.00	$400.00	$400.00	$400.00
The B-Side	PUB (2)	$900.00	$300.00	$300.00	$300.00
The Folio English Academic Journal	PUB (4)	$800.00	$800.00	$800.00	$800.00
