	Organization		Sponsorship Category		Years		Final Allocation									
	ASUC Mental Health Commission		GOVT				$500									
	ASUC Publications and Media Board		GOVT				"$10,000"									
	ASUC Financial Wellness Commission		GOVT				"$3,000"									
	ASUC Housing Commission		GOVT				"$3,000"									
	ASUC Sexual Violence Commission		GOVT				"$3,000"									
	"ASUC Student Union Programming, Entertainment, and Recreation Board"		GOVT				"$130,000"									
	ASUC Sustainability Team		GOVT				"$3,000"									
	CalTV		GOVT				"$8,500"									
	Innovative Design		GOVT				"$7,200"									
	Helio Solar Program		GOVT				"$1,200"									
	Open Computing Facility		GOVT				"$30,000"
	BARE Magazine		PUB		11		"$3,100"									
	Berkeley Fiction Review		PUB		35		"$1,500"									
	Berkeley Poetry Review		PUB		24		$500									
	"Berkeley Political Review, The"		PUB		17		"$7,000"									
	Berkeley Science Review		PUB		18		"$1,000"									
	Cal Literature & Arts Magazine		PUB		27		"$2,400"									
	Caliber Magazine		PUB		9		"$8,000"									
	Clio's Scroll		PUB		19		"$1,900"									
	Fashion Editorial of Berkeley		PUB		2		$100									
	"Heuristic Squelch, The"		PUB		22		"$3,000"									
	Maganda Magazine		PUB		29		"$2,500"									
	Mechanism of Feeling		PUB		2		$700									
	Perspective Magazine		PUB		21		"$3,900"									
	"Smart Ass, The"		PUB		17		"$3,000"									
	Spoon University at Berkeley		PUB		5		"$1,100"									
	Student Journal of Middle Eastern Studies		PUB		2		$400									
	The B-Side		PUB		6		$770									
	The Beet of Berkeley		PUB		2		$160									
	The Hapa Club		PUB		2		$400									
	The Public Health Advocate		PUB		14		"$1,200"									
	The Rhetoric Society at Berkeley		PUB		3		$500									
	The Undergraduate Journal of Psychology at Berkeley		PUB		5		$400									
	threads (formerly known as Al-Bayan)		PUB		18		"$10,000"									
	To An Unknown God		PUB		10		"$2,900"									
	Undergraduate Journal of Classics at Berkeley		PUB		4		"$1,100"
	180 Degrees Consulting at Berkeley		SAG		3		$500									
	"A.S.T.R.O - Astronomer's Society for Teaching, Recreation and Outreach"		SAG		2		$400									
	ABA		SAG		2		Sponsorship only									
	Abba Modern		SAG		2		$400									
	acts2fellowship		SAG		17		"$3,000"									
	AFX Dance		SAG		6		Sponsorship only									
	Afghan Student Association		SAG		11		"$1,500"									
	"Alpha Kappa Alpha Sorority, Incorporated"		SAG		2		$400									
	Alpha Kappa Psi		SAG		8		"$1,580"									
	Alpha Phi Omega		SAG		33		"$3,500"									
	American Advertising Federation		SAG		3		$500									
	American Chemical Society Student Chapter at Berkeley		SAG		3		$500									
	American Chemical Society Student Chapter at Berkeley		SAG		3		$500									
	American Institute of Aeronautics and Astronautics		SAG		2		Sponsorship only									
	American Medical Student Association--Berkeley Premedical Chapter		SAG		20		$650									
	American Medical Women's Association at Berkeley		SAG		3		$500									
	American Society of Civil Engineers		SAG		2		Sponsorship only									
	Amigos		SAG		2		$100									
	Arab Student Union		SAG		7		"$1,300"									
	Armenian Student Association		SAG		36		"$2,000"									
	Artists in Resonance		SAG		4		$500									
	Ascend		SAG		10		$500									
	"Asha for Education, Berkeley"		SAG		14		"$1,000"									
	Asian American Association		SAG		21		"$4,563"									
	Asian American Christian Fellowship		SAG		5		$400									
	Association for Muslim Professional Development		SAG		12		"$1,400"									
	Association for Socially Responsible Business		SAG		1		$100									
	Autonomous Underwater Vehicles Team at Berkeley		SAG		2		Sponsorship only									
	Azaad		SAG		6		Sponsorship only									
	Ballet Company at Berkeley		SAG		7		$600									
	Ballet Folklorico Reflejos De Mexico		SAG		6		$600									
	Bangali Student Association at Berkeley		SAG		2		$400									
	BerKast		SAG		2		$400									
	Berkeley Advertising Agency		SAG		2		$400									
	Berkeley Ballroom Dancers		SAG		4		$400									
	Berkeley Business Society		SAG		2		Sponsorship only									
	Berkeley Carillon Guild 		SAG		15		$150									
	Berkeley Chinese Students and Scholars Association		SAG		12		"$1,500"									
	Berkeley College Republicans		SAG		23		"$1,000"									
	Berkeley Energy and Resources Collaborative		SAG		2		$400									
	Berkeley Indonesian Student Association		SAG		4		$500									
	Berkeley Innovation		SAG		2		Sponsorship only									
	Berkeley Legal Studies Association		SAG		2		$400									
	Berkeley Women in Business		SAG		15		$700									
	Best Laid Plans		SAG		2		$400									
	Beyond Academia		SAG		2		$500									
	Black Pre-Law Association		SAG		2		$400									
	Black Recruitment and Retention Center		SAG		36		"$40,500 + Funded through STARR Referendum"									
	Black Student Union		SAG		9		"$15,500"									
	Black Students in Health Association		SAG		3		$250									
	Board Games at Berkeley		SAG		2		$500									
	BridgeUSA at Berkeley		SAG		2		$400									
	Business Careers in Entertainment Club		SAG		5		$800									
	Business Review at Berkeley		SAG		1		$100									
	Cal Actuarial League		SAG		14		$450									
	Cal American Civil Liberties Union		SAG		2		$300									
	Cal Berkeley Democrats		SAG		21		"$4,200"									
	Cal Dragon Boat		SAG		15		"$2,500"									
	Cal Hawai'i Club		SAG		30		"$3,400"									
	Cal Hiking and Outdoor Society		SAG		70		"$5,000"									
	Cal in the Capital		SAG		41		"$3,000"									
	Cal Japan Club		SAG		11		$500									
	Cal Performances Student Ambassadors for the Arts		SAG		5		$500									
	Cal Pre-Vet Club		SAG		9		$200									
	Cal Queer and Asian		SAG		9		"$1,995"									
	Cal Taiko		SAG		14		"$2,900"									
	Cal Undergraduate Public Health Coalition		SAG		15		$600									
	CalGreeks Programming Council		SAG		3		$500									
	California Mock Trial		SAG		18		"$17,500"									
	CalSlam		SAG		14		$800									
	Capital Investments at Berkeley		SAG		2		$400									
	Catholic Students at Cal - Newman Hall		SAG		7		$500									
