	Organization		Sponsorship Category		Years		Allocation																						
	ASUC Mental Health Commission		GOVT				"$3,000"																						
	ASUC Publications and Media Board		GOVT				"$10,000"																						
	ASUC Financial Wellness Commission		GOVT				"$3,000"																						
	ASUC Housing Commission		GOVT				"$3,000"																						
	ASUC Sexual Violence Commission		GOVT				"$3,000"																						
	ASUC Restorative Justice Commission		GOVT				"$3,000"																						
	ASUC Intimate Partner Violence Commission		GOVT				"$3,000"																						
	ASUC Police Oversight Commission		GOVT				"$3,000"																						
	ASUC Diversity Affairs Commission		GOVT				"$3,000"																						
	ASUC Post-Traditional Student Commission		GOVT				"$3,000"																						
	ASUC Sustainability Team		GOVT				"$3,000"																						
	"ASUC Student Union Programming, Entertainment, and Recreation Board"		GOVT				$0																						
	CalTV		GOVT				"$11,000"																						
	Innovative Design		GOVT				"$7,200"																						
	Helios Solar Program		GOVT				"$3,500"																						
	Open Computing Facility		GOVT				"$30,000"																						
	DeCal Board		GOVT				"$5,000"																						
	"B-Side, The"		PUB		7		$350																						
	BARE Magazine		PUB		12		"$4,077"																						
	Berkeley Economic Review		PUB		2		$700																						
	Berkeley Fiction Review		PUB		36		"$2,000"																						
	Berkeley Poetry Review		PUB		25		"$1,520"																						
	"Berkeley Political Review, The"		PUB		18		"$8,028"																						
	Berkeley Science Review		PUB		19		"$1,200"																						
	Berkeley Scientific Journal		PUB		3		$900																						
	Berktown Buzz		PUB		1		$700																						
	Blue & Gold Yearbook		PUB		5		$700																						
	Cal Literature and Arts Magazine		PUB		28		"$2,800"																						
	Caliber Magazine		PUB		10		"$9,250"																						
	Clio's Scroll		PUB		20		"$1,500"																						
	Garb		PUB		3		$900																						
	In Color Film and Visual Arts Collective		PUB		1		$400																						
	Intercollegiate Finance Journal at UC Berkeley		PUB		1		$700																						
	LatinUS		PUB		1		$500																						
	Maganda Magazine		PUB		30		$610																						
	Morning Sign Out		PUB		1		$260																						
	Perspective Magazine		PUB		22		Sponsorship Only																						
	Policy Review at Berkeley		PUB		1		$700																						
	Public Health Advocate		PUB		15		"$1,900"																						
	Review of International Conflict and Security		PUB		1		$700																						
	"Smart Ass, The"		PUB		18		"$3,000"																						
	Spoon University at Berkeley		PUB		6		"$1,250"																						
	Synapse		PUB		3		$840																						
	The Heuristic Squelch		PUB		23		"$7,999"																						
	threads (formerly known as Al-Bayan)		PUB		20		"$11,000"																						
	To An Unknown God		PUB		11		"$2,900"																						
	Undergraduate Journal of Classics at Berkeley		PUB		5		"$1,600"
	[make]new christian fellowship		SAG		3		$500																						
	180 Degrees Consulting at Berkeley		SAG		4		$500																						
	3D Modeling and Animation at Berkeley		SAG		1		$400																						
	A.S.T.R.O. - Astronomer's Society for Teaching Recreation and Outreach		SAG		3		Sponsorship Only																						
	ABA		SAG		3		Sponsorship Only																						
	Abba Modern		SAG		3		$500																						
	acts2fellowship		SAG		18		"$4,300"																						
	Afghan Student Association		SAG		12		"$3,000"																						
	AFX Dance		SAG		7		Sponsorship Only																						
	"Alpha Epsilon Zeta Fraternity, Inc."		SAG		14		"$2,800"																						
	Alpha Kappa Psi		SAG		9		"$1,000"																						
	Alpha Phi Omega		SAG		34		"$4,000"																						
	Alpha Rho Chi		SAG		1		$400																						
