	Organization		Sponsorship Category	Years of Sponsorship	Allocation															
	ASUC Mental Health Commission		GOVT		$500															
	ASUC Publications and Media Board		GOVT		"$8,000"															
	ASUC Financial WellnESC Commission		GOVT		"$3,000"															
	ASUC Housing Commission		GOVT		"$3,000"															
	ASUC Sexual Violence Commission		GOVT		"$3,000"															
	ASUC Restorative Justice Commission		GOVT		"$3,000"															
	ASUC Intimate Partner Violence Commission		GOVT		"$3,000"															
	ASUC Police Oversight Commission		GOVT		"$3,000"															
	ASUC Diversity Affairs Commission		GOVT		"$3,000"															
	ASUC Sustainability Team		GOVT		"$3,000"															
	"ASUC Student Union Programming, Entertainment, and Recreation Board"		GOVT		$0															
	CalTV		GOVT		"$11,000"															
	Innovative Design		GOVT		"$7,200"															
	Helios Solar Program		GOVT		$250															
	Open Computing Facility		GOVT		"$35,000"															
	DeCal Board		GOVT		"$4,000"														
	BARE Magazine		PUB	13	"$3,262"															
	Berkeley Fiction Review		PUB	37	"$2,200"															
	Berkeley Poetry Review		PUB	26	"$1,216"															
	Berkeley Science Review		PUB	20	"$1,200"															
	Berkeley Scientific Journal		PUB	4	$900															
	Blue & Gold Yearbook		PUB	6	$560															
	Cal Literature and Arts Magazine		PUB	29	"$3,000"															
	Caliber Magazine		PUB	11	"$9,500"															
	Caravan Travel & Style Magazine		PUB	3	$250															
	Clio's Scroll		PUB	21	"$1,400"															
	Garb		PUB	4	"$1,100"															
	GIA MAG		PUB	2	$700															
	Heuristic Squelch		PUB	24	"$8,000"															
	Intercollegiate Finance Journal at UC Berkeley		PUB	2	$560															
	La Raza Law Journal 		PUB	1	Sponsorship Only															
	Maganda Magazine		PUB	31	"$1,500"															
	Perennial: The Undergraduate Environmental Journal of Berkeley		PUB	2	$700															
	Perspective Magazine		PUB	23	$250															
	Policy Review at Berkeley		PUB	2	$700															
	Public Health Advocate		PUB	16	"$1,500"															
	"Smart Ass, The"		PUB	19	"$3,300"															
	Spoon University at Berkeley		PUB	7	"$1,000"															
	threads (formerly known as Al-Bayan)		PUB	21	"$11,000"															
	To An Unknown God		PUB	12	"$2,900"															
	0 Comedy		SAG	2	$250															
	180 Degrees Consulting at Berkeley		SAG	5	$400															
	3D Modeling and Animation at Berkeley		SAG	2	$400															
	3DMC (under Engineering Student Council)		SAG	1	Sponsorship Only															
	Abba Modern		SAG	4	$250															
	AccelerateHer@Berkeley		SAG	2	$250															
	acts2fellowship		SAG	19	"$4,730"															
	Aerospace Society of Automative Engineers (children of Engineering Student Council)		SAG	1	Sponsorship															
	Afghan Student Association		SAG	13	"$2,400"															
