,Year,Organization,Type,Designation,Standing,Allocation
0,2012,maganda magazine,PUB,Publications RSO,23,1592.02
1,2012,Threads,PUB,Publications RSO,12,1300.0
2,2012,Alternative Breaks,PUB,Service RSO,10,891.07
3,2012,BARE Magazine,PUB,Publications RSO,6,1250.0
4,2012,Berkeley Fiction Review,PUB,Publications RSO,29,1036.99
5,2012,Berkeley Poetry Review,PUB,Publications RSO,18,1500.0
6,2012,Berkeley Review of Education,PUB,Publications RSO,1,500.0
7,2012,Berkeley Science Review,PUB,Publications RSO,13,2139.47
8,2012,Caliber Magazine,PUB,Publications RSO,3,1700.0
9,2012,Cal Literature & Arts Magazine,PUB,Publications RSO,15,1495.0
10,2012,Clio's Scroll,PUB,Publications RSO,13,1100.0
11,2012,Cultural Analysis,PUB,Publications RSO,3,620.9
12,2012,Imaginarium,PUB,Publications RSO,1,500.0
13,2012,Fabric Publishing Collective,PUB,Publications RSO,1,400.0
14,2012,hardboiled,PUB,Publications RSO,16,4645.11
15,2012,The Heuristic Squelch,PUB,Publications RSO,16,2400.0
16,2012,Human Journal at Berkeley,PUB,Publications RSO,2,595.0
17,2012,MISTER Magazine,PUB,Publications RSO,1,488.0
18,2012,Onyx Express,PUB,Publications RSO,17,4345.64
19,2012,Perspective Magazine,PUB,Publications RSO,8,1200.0
20,2012,Premed Perspective,PUB,Publications RSO,8,1200.0
21,2012,Sather Health: Issues in Student Health,PUB,Publications RSO,2,377.4
22,2012,The Smart Ass,PUB,Publications RSO,13,3384.0
23,2012,The Berkeley Political Review,PUB,Publications RSO,12,4293.0
24,2012,The Black Album,PUB,Publications RSO,2,245.0
25,2012,Public Health Advocate,PUB,Publications RSO,8,390.93
26,2012,Science of Wellness,PUB,Publications RSO,1,500.0
27,2012,"The Triple Helix: The Journal Of Science, Society, and Law",PUB,Publications RSO,2,595.0
28,2012,Undergraduate Journal of Psychology at Berkeley,PUB,Publications RSO,2,548.0
29,2012,To An Unknown God,PUB,Publications RSO,4,1870.0
30,2012,Comparative Literature Undergraduate Journal,PUB,Publications RSO,1,420.0
31,2012,Abba Modern,SAG,Performing Arts RSO,1,50.0
32,2012,acts2fellowship,SAG,Spiritual RSO,11,2807.8
33,2012,Afghan Student Association,SAG,Cultural & Identity/International RSO,5,373.9
34,2012,"Alpha Epsilon Zeta Fraternity, Inc.",SAG,Professional RSO,8,802.6
35,2012,Alpha Kappa Psi,SAG,Academic RSO,2,52.5
36,2012,Alpha Phi Omega,SAG,Service RSO,27,1310.95
37,2012,Ambience,SAG,Recreational RSO,1,150.0
38,2012,American Institute of Architecture Students,SAG,Professional RSO,4,420.0
39,2012,American Medical Student Association--Berkeley Premedical Chapter,SAG,Professional RSO,14,630.0
40,2012,American Nuclear Society,SAG,Academic RSO,5,0.0
41,2012,American Society of Civil Engineers,SAG,Academic RSO,8,100.0
42,2012,Anthropology Undergraduate Association,SAG,Departmental RSO,2,200.0
43,2012,Armenian Student Association,SAG,Cultural & Identity/International RSO,35,2092.27
44,2012,ASCEND,SAG,Professional RSO,4,168.0
45,2012,"Asha for Education, Berkeley",SAG,Service RSO,8,744.94
46,2012,Asian American Association,SAG,Cultural & Identity/Cultural & Ethnic RSO,15,7740.6
47,2012,Asian Pacific American Coalition,SAG,Cultural & Identity/Cultural & Ethnic RSO,13,1678.4
48,2012,Asociacion de Chilenos en Berkeley,SAG,Cultural & Identity/International RSO,1,50.0
49,2012,Association for Muslim Professional Development,SAG,Professional RSO,6,37.5
50,2012,Association of Psychology Undergraduates,SAG,Departmental RSO,13,30.0
51,2012,Spectrum: Autism at Cal,SAG,Political & Advocacy RSO,2,200.0
